,density,alcohol,quality
1089,0.9934,10.6,7
1090,1.0006,9.3,6
1091,0.9982,8.9,6
1092,0.9928,10.6,6
1093,0.9945,10.6,7
1094,0.9963,8.8,5
1095,0.9906,11.0,8
1096,0.9956,10.2,6
1097,0.9942,10.1,7
1098,0.9962,10.1,6
1100,0.995,9.4,6
1101,0.9908,11.8,6
1102,0.9914,11.4,5
1103,0.9938,10.7,5
1104,0.9977,8.6,5
1105,0.9922,11.5,7
1106,0.992,11.2,8
1107,0.9903,12.6,7
1108,0.9893,12.6,7
1109,0.9952,9.3,4
1110,0.9903,12.6,7
1111,0.9912,12.1,6
1112,0.9983,9.9,6
1113,0.9937,10.7,5
1114,0.9932,10.0,4
1115,0.9928,10.4,8
1116,0.9922,10.5,5
1117,0.9976,9.7,5
1118,0.9922,10.5,5
1119,0.9974,9.0,5
1120,0.998,9.2,6
1121,0.9931,10.1,6
1122,0.9911,11.4,7
1123,0.9944,10.8,5
1124,0.9937,10.9,5
1125,0.9974,9.2,6
1126,0.989,12.9,7
1127,0.992,12.0,7
1128,0.9928,9.5,5
1129,0.9918,11.8,7
1130,0.9936,9.1,6
1131,0.9944,9.7,6
1132,0.9988,9.1,5
1133,0.994,10.0,5
1134,0.9953,10.4,5
1135,0.9986,9.5,6
1136,0.9914,12.3,8
1137,0.9934,11.7,8
1138,0.996,9.5,5
1139,0.9937,11.5,5
1140,0.9921,10.6,6
1141,0.998,10.2,5
1142,0.996,9.5,5
1143,0.9933,10.5,5
1144,0.9933,10.5,5
1145,0.9959,8.9,5
1146,0.9936,10.6,5
1147,0.9953,9.5,5
1148,0.9938,10.8,6
1149,0.9952,9.5,5
1150,0.9959,8.9,5
1151,0.9959,8.9,5
1152,0.9937,9.4,4
1153,0.992,10.6,6
1154,0.9967,9.0,4
1155,0.9944,10.5,4
1156,0.9998,9.0,6
1157,0.9998,9.0,6
1158,0.9942,9.4,6
1159,0.9998,9.0,6
1160,0.9945,9.6,6
1161,0.9998,9.0,6
1162,0.9946,10.2,7
1163,0.9942,9.4,6
1164,0.9928,10.4,6
1165,0.9946,10.4,5
1166,0.9927,9.5,5
1167,0.9938,10.6,6
1168,0.9918,11.0,5
1169,0.9945,9.6,6
1170,0.9966,9.9,6
1171,0.9954,9.6,5
1172,0.9913,12.8,6
1173,0.9931,11.4,5
1174,0.9986,10.0,6
1175,0.9965,9.1,5
1176,0.9984,9.4,7
1177,0.9952,10.2,6
1178,0.9956,9.2,5
1179,0.9949,9.4,5
1180,0.9954,9.6,5
1181,0.996,10.1,6
1182,0.9931,11.4,5
1183,0.992,10.6,6
1184,0.9912,12.8,7
1185,0.9978,8.9,5
1186,0.9938,9.3,5
1187,0.9914,11.1,8
1188,0.9932,9.9,6
1189,0.9944,9.6,5
1190,0.9913,12.8,6
1191,0.9948,10.7,7
1192,0.998,9.2,6
1193,0.9998,9.1,7
1194,0.9964,9.6,6
1195,0.9992,9.2,6
1196,0.9948,10.7,7
1197,0.9998,9.1,7
1198,0.998,9.2,6
1199,0.9939,10.7,7
1200,0.992,10.8,6
1201,0.9922,10.8,7
1202,0.9955,9.0,5
1203,0.9917,10.7,6
1204,0.9917,10.7,6
1205,0.9954,9.4,5
1206,0.9986,8.8,6
1207,0.9955,9.0,5
1208,0.9917,11.5,6
1209,0.9907,12.5,6
1210,0.9922,10.5,6
1211,0.9958,9.7,5
1212,0.993,11.3,6
1213,0.9917,10.7,6
1214,0.9926,10.8,6
1215,0.9959,10.6,5
1216,0.9906,11.7,8
1217,0.9993,9.2,5
1218,0.993,11.1,8
1219,0.9906,11.7,8
1220,0.992,11.0,6
1221,0.992,12.5,7
1222,0.994,10.0,6
1223,0.9959,10.6,5
1224,0.9908,12.3,7
1225,0.9902,12.7,6
1226,0.9908,12.3,7
1227,0.9943,10.5,5
1228,0.9921,12.5,6
1229,0.9911,12.4,3
1230,0.9986,8.7,6
1231,0.992,12.4,7
1232,0.992,12.6,7
1233,0.9943,11.0,6
1234,0.9937,10.1,6
1235,0.993,10.5,5
1236,0.9902,12.7,6
1237,0.9928,10.9,5
1238,0.9896,13.5,7
1239,0.998,9.7,5
1240,0.9954,9.2,6
1241,0.9938,10.6,7
1243,0.9896,13.5,7
1244,0.9944,10.1,5
1245,0.9999,9.4,4
1246,0.9953,10.6,7
1247,0.992,11.3,6
1248,0.9925,10.8,7
1249,0.9981,10.4,5
1250,0.9952,10.5,7
1251,0.9927,9.3,5
1252,0.9927,9.3,6
1253,0.9911,12.2,7
1254,0.9936,9.2,5
1255,0.9959,10.3,6
1256,0.9946,9.4,6
1257,0.9948,10.2,6
1258,0.9955,9.0,6
1259,0.9951,9.3,6
1260,0.9952,9.2,6
1261,0.9946,9.4,6
1262,0.9946,9.4,6
1263,0.9944,9.5,6
1264,0.9938,9.9,5
1265,0.9963,11.1,7
1266,0.991,12.3,8
1267,1.0003,8.6,7
1268,0.9966,9.4,5
1269,0.9993,9.4,6
1270,1.0003,8.6,7
1271,0.9938,10.9,5
1272,0.9965,9.4,5
1273,0.9938,10.9,5
1274,0.9993,9.4,6
1275,0.9938,9.2,6
1276,1.0003,8.6,7
1277,0.9966,9.4,5
1278,0.9942,10.8,6
1279,0.9928,10.5,6
1280,0.991,12.5,6
1281,0.9911,12.1,7
1282,0.9977,8.7,5
1283,0.9927,12.7,8
1284,0.9911,12.1,7
1285,0.991,12.5,6
1286,0.9912,11.4,7
1287,0.9907,12.9,7
1288,0.9902,12.8,7
1289,0.992,11.2,6
1290,0.994,9.7,6
1291,0.9966,9.7,6
1292,0.993,10.3,6
1293,0.993,11.6,4
1294,0.993,11.6,4
1295,0.9966,9.7,6
1296,0.9942,10.9,6
1297,0.9925,12.6,7
1298,0.9925,12.4,6
1299,0.9928,11.5,5
1300,0.995,10.2,6
1301,0.9939,11.4,5
1302,0.9958,9.6,6
1303,0.9952,10.3,6
1304,1.0,9.3,5
1305,0.9948,10.7,7
1306,0.99,12.8,8
1307,0.9958,9.5,5
1308,0.9948,10.4,6
1309,0.9949,10.3,6
1310,0.997,9.9,6
1311,0.9927,10.7,6
1312,0.9938,10.5,5
1313,0.9949,9.6,5
1314,0.9953,9.3,6
1315,0.997,10.0,6
1316,0.9932,11.2,6
1317,0.9927,10.8,5
1318,0.9932,10.3,6
1319,0.9955,8.8,5
1320,0.9914,12.8,6
1322,0.992,10.1,6
1323,0.9924,11.0,5
1324,0.9927,10.8,6
1325,0.9911,12.8,7
1326,0.9958,9.2,6
1327,0.9928,10.5,6
1328,0.9902,11.7,6
1329,0.994,9.5,5
1330,0.994,9.5,5
1331,0.9972,8.8,6
1332,1.0004,9.3,7
1333,0.991,12.6,8
1334,0.9918,12.4,6
1335,0.995,10.1,6
1336,0.9941,11.2,8
1337,0.9956,10.0,5
1338,0.9956,10.0,5
1339,0.9959,10.8,6
1340,0.9922,10.0,6
1341,0.9931,10.4,5
1342,0.9959,10.8,6
1343,0.9984,9.8,6
1344,0.9908,12.2,8
1345,0.991,12.7,8
1346,0.9928,12.2,7
1347,0.9936,11.9,7
1348,0.9941,11.2,8
1349,0.9924,10.4,4
1350,0.9917,12.8,7
1351,0.9906,12.7,7
1352,0.995,10.1,6
1353,0.9956,10.0,5
1354,0.9955,9.0,5
1355,0.9907,11.4,5
1356,1.0,8.9,6
1357,0.9953,9.3,6
1358,0.9911,12.0,8
1359,0.9922,10.8,7
1360,0.9951,10.5,6
1361,0.9948,10.6,7
1362,0.9906,11.3,7
1363,0.994,9.5,4
1364,0.9907,11.4,5
1365,0.9927,10.1,7
1366,0.9914,10.9,6
1367,0.9958,8.9,5
1368,1.0,8.9,6
1369,0.9984,9.3,5
1370,0.9941,10.4,6
1371,0.9944,12.0,7
1372,0.998,9.5,6
1373,0.998,9.5,6
1374,0.9902,12.4,7
1375,0.9911,11.2,7
1376,0.9929,11.4,6
1377,0.993,11.4,6
1378,0.9918,11.1,7
1379,0.992,10.4,6
1380,0.9932,12.0,7
1381,0.992,12.3,7
1382,0.994,9.1,6
1383,0.9923,10.5,6
1384,0.993,11.4,6
1385,0.9956,9.5,5
1386,0.9907,13.7,7
1387,0.99,13.4,6
1388,0.9918,11.3,7
1389,0.9926,10.0,6
1390,0.995,10.1,6
1391,0.99,12.2,6
1392,0.99,13.4,6
1393,0.9946,9.3,6
1394,0.9907,13.7,7
1395,0.9898,12.3,7
1396,0.9918,11.3,7
1397,0.9986,8.9,7
1398,0.9986,8.9,7
1399,0.9928,11.5,6
1400,0.9986,8.9,7
1401,0.9979,9.3,6
1402,0.994,11.1,8
1403,0.9937,10.9,8
1404,0.9938,11.6,5
1405,0.9942,10.2,4
1406,0.9944,10.5,8
1407,0.993,11.4,6
1408,0.9986,8.9,7
1409,0.9932,10.6,6
1410,0.9934,11.6,6
1411,0.9928,11.5,6
1412,0.9925,12.3,8
1413,0.9944,10.8,6
1414,0.9909,11.3,6
1415,0.9932,9.3,5
1416,0.9934,10.0,6
1418,0.992,10.2,5
1419,0.9916,10.8,7
1420,0.998,10.1,4
1421,0.9919,11.6,6
1422,0.9925,9.1,5
1423,0.9977,10.0,4
1424,0.9944,10.8,6
1425,0.991,11.4,6
1426,0.99,12.7,6
1427,0.9917,11.3,5
1428,0.9923,10.4,7
1429,0.9928,9.6,5
1430,0.9923,10.1,4
1431,0.9928,9.6,5
1432,0.9902,12.1,7
1433,0.9893,12.2,6
1434,0.9917,11.3,5
1435,0.9982,9.6,5
1436,1.0005,9.2,5
1437,0.9923,10.4,7
1438,0.9951,9.5,5
1439,0.9956,8.9,5
1440,0.998,8.8,5
1441,0.9928,10.5,5
1442,0.9938,9.4,5
1443,0.9914,12.2,6
1444,0.9955,11.3,6
1445,0.9924,12.2,6
1446,0.9911,12.2,6
1447,0.9917,11.2,6
1448,0.9917,11.2,6
1449,0.9932,11.5,6
1450,0.9955,11.3,6
1451,0.9929,9.3,5
1452,0.9955,11.3,6
1453,0.9958,11.8,7
1454,1.0012,9.2,5
1455,0.9968,9.2,5
1456,0.9911,12.2,6
1457,0.9924,12.2,6
1458,0.991,12.2,6
1459,0.9946,10.6,6
1460,0.9928,12.4,6
1461,0.9946,10.8,6
1462,0.9917,11.2,6
1463,0.9918,11.0,6
1464,0.9926,12.7,8
1465,0.9931,10.2,5
1466,0.9932,11.5,6
1467,0.9903,12.3,7
1468,0.9928,9.8,5
1469,0.9929,9.3,5
1470,0.9958,11.8,7
1471,0.9955,11.3,6
1472,0.9911,11.4,5
1473,0.9938,10.8,6
1474,0.9942,9.5,4
1475,0.9945,10.2,6
1476,0.9962,10.7,5
1477,0.992,10.8,6
1478,0.9927,11.5,6
1479,0.9948,10.7,6
1480,0.9945,10.2,6
1481,0.9942,10.1,6
1482,0.9952,10.4,6
1483,0.9942,9.5,4
1484,0.9958,9.1,3
1485,0.9918,10.6,6
1486,0.9932,9.4,6
1487,1.0004,9.8,6
1488,0.9972,9.5,6
1489,0.9998,9.3,5
1490,0.9918,10.3,6
1491,0.9918,11.1,5
1492,0.9964,10.0,5
1493,0.9936,12.3,8
1494,0.9931,12.4,8
1495,0.9938,12.3,7
1496,0.9934,10.4,5
1497,0.99,12.1,7
1498,0.9914,12.5,6
1499,0.9904,13.0,6
1500,0.994,11.0,7
1501,0.9938,10.1,5
1502,0.9933,9.2,5
1503,0.9909,12.6,7
1504,0.9942,12.2,8
1505,0.9945,9.8,7
1506,0.9954,11.0,6
1507,0.996,10.0,6
1508,0.9991,9.8,6
1509,0.993,10.5,5
1510,0.9942,10.0,5
1511,0.9934,11.2,6
1512,0.9939,11.0,7
1513,0.9937,11.2,6
1514,0.994,11.0,7
1515,0.9926,10.5,6
1516,0.9951,10.6,6
1517,0.9952,10.6,6
1518,0.9935,12.0,6
1519,0.9938,10.1,5
1520,0.9939,10.1,6
1521,0.9933,9.2,5
1522,0.9927,11.0,5
1523,0.998,10.0,6
1524,0.9997,8.7,6
1525,0.9981,8.7,5
1526,0.992,11.1,6
1527,0.9954,11.0,6
1528,0.992,11.1,6
1529,0.9997,8.7,6
1530,0.9981,8.7,5
1531,0.9943,11.2,7
1532,0.9941,11.1,7
1533,0.9936,10.8,6
1534,0.9996,9.0,6
1535,0.9932,10.3,6
1536,0.9926,9.9,5
1537,0.9936,10.0,6
1538,0.992,9.8,6
1539,0.9936,10.8,6
1540,0.9996,9.0,6
1541,0.993,9.1,4
1542,0.9924,10.6,6
1543,0.9928,10.6,6
1544,0.9926,9.9,5
1545,0.9952,10.6,6
1546,0.9945,9.9,6
1547,0.9945,9.9,6
1548,0.9903,12.8,6
1549,0.9932,10.3,6
1550,0.9953,10.6,6
1551,0.9936,8.7,6
1552,0.9912,12.6,7
1553,0.9962,11.0,7
1554,0.9965,11.2,7
1555,0.9932,10.7,7
1556,0.9967,9.6,6
1557,0.9953,10.6,6
1558,0.9963,9.0,4
1559,0.992,10.5,4
1560,0.991,12.8,6
1561,0.9958,10.1,5
1562,0.99,12.2,7
1563,0.991,12.8,6
1564,0.9958,10.1,5
1565,0.9938,10.1,6
1566,0.9996,9.2,5
1567,0.9946,9.9,5
1568,0.9974,9.7,6
1569,0.9945,9.9,5
1570,0.9946,9.9,5
1571,0.9974,9.7,6
1572,0.9957,10.3,6
1573,0.9931,10.3,5
1574,0.9947,10.5,4
1575,0.9953,10.5,6
1576,0.9931,9.8,6
1577,0.9946,10.6,4
1578,0.9978,10.1,5
1579,0.9989,9.0,4
1580,1.0004,9.5,5
1581,0.9938,11.5,6
1582,0.9934,11.9,7
1583,0.9978,10.1,5
1584,0.9956,9.2,6
1585,0.9982,8.7,5
1586,0.9948,9.8,5
1587,0.9956,9.2,6
1588,0.9982,8.7,5
1589,0.9926,11.2,6
1590,0.991,12.3,6
1591,0.9945,10.4,6
1592,0.9916,10.7,6
1593,0.9953,10.5,6
1594,0.9938,9.4,6
1595,0.9956,9.2,6
1596,0.9906,11.9,5
1597,0.9956,9.2,6
1598,0.9932,9.9,6
1599,0.9914,11.4,6
1600,0.9938,9.4,6
1601,0.996,10.7,6
1602,0.9906,12.7,5
1603,0.98815,13.5,7
1604,0.9942,9.5,5
1605,0.9903,12.9,9
1606,0.9906,12.5,6
1607,0.9935,9.5,7
1609,0.9968,10.0,7
1610,0.9906,12.5,6
1611,0.9941,10.1,6
1612,0.9919,11.3,7
1613,0.9928,10.6,7
1614,0.9958,10.8,5
1615,0.9932,10.7,6
1616,0.9957,9.0,6
1617,0.9937,9.2,6
1619,0.9928,11.3,8
1620,0.9919,11.3,7
1621,0.9956,9.4,5
1623,0.9954,9.4,6
1624,0.993,10.5,7
1625,0.9954,9.7,6
1626,0.9987,10.2,6
1627,0.9956,9.4,5
1628,0.9928,11.5,6
1629,0.9951,9.6,6
1630,0.993,11.4,5
1631,0.9928,11.5,6
1632,0.9926,12.2,8
1633,0.9938,11.0,7
1634,1.0001,9.2,6
1635,0.9933,10.2,6
1636,0.9952,10.0,5
1637,0.9934,9.7,6
1638,0.9988,9.2,5
1639,0.993,10.5,5
1640,0.9952,10.0,5
1641,0.9948,10.1,6
1642,0.9998,9.1,7
1643,0.9971,10.2,7
1644,0.9998,9.1,7
1645,0.9962,10.5,7
1646,0.9948,10.1,6
1647,0.99,12.1,7
1648,0.9942,10.2,5
1649,0.9965,9.4,4
1650,0.9912,12.8,7
1651,0.9978,9.0,6
1652,0.9928,10.9,4
1654,0.9956,9.0,5
1655,0.9936,10.2,5
1656,0.9929,9.2,5
1657,0.9966,11.3,6
1658,0.9964,8.8,5
1659,0.996,9.3,5
1660,0.9959,9.4,6
1661,0.9954,10.3,6
1662,0.9914,10.8,7
1664,1.0004,9.0,4
1665,0.9911,11.5,8
1666,0.9938,10.8,5
1667,0.9927,11.8,6
1668,0.9922,10.5,7
1669,0.9924,9.9,6
1670,0.9963,9.8,6
1671,0.9936,11.4,7
1672,0.9951,9.3,5
1673,0.9951,9.3,5
1674,0.9955,10.3,6
1675,0.9961,8.9,5
1676,0.9936,11.4,7
1677,0.992,11.1,6
1678,0.9944,10.4,6
1679,0.9944,10.1,5
1680,1.0008,9.0,5
1681,0.9962,11.9,6
1682,0.9986,9.0,7
1683,0.9986,9.0,7
1684,1.0,9.1,7
1685,0.9986,9.0,7
1686,0.9982,10.0,5
1687,1.0,9.1,7
1688,0.9949,9.4,3
1689,0.9915,11.4,6
1690,0.9951,9.7,4
1691,0.9986,9.0,7
1692,0.9927,11.8,6
1693,0.9955,10.2,5
1694,0.9952,9.2,6
1695,0.9928,11.0,6
1696,0.9982,10.0,6
1697,0.9914,12.2,6
1698,0.9927,11.8,6
1699,0.9918,11.6,6
1700,0.9944,10.2,6
1701,0.9969,10.3,5
1703,0.9954,9.6,5
1704,0.9955,9.6,5
1705,0.9921,11.3,6
1706,0.9934,9.9,6
1707,0.9998,9.6,5
1708,0.9946,10.6,4
1709,0.9984,9.8,5
1710,0.9924,10.5,5
1711,0.9939,10.8,5
1712,0.995,10.0,6
1713,0.9957,10.1,6
1714,0.9953,9.4,5
1715,0.9912,11.5,8
1716,0.9939,10.8,6
1717,0.9921,9.9,6
1718,0.9954,9.0,4
1719,0.9933,9.4,6
1720,0.9941,10.8,7
1721,0.995,10.9,7
1723,0.9912,11.5,8
1724,0.9945,10.5,6
1725,0.9952,9.3,6
1726,0.9924,11.8,6
1727,0.9986,10.0,6
1728,0.9953,9.4,5
1729,0.9939,11.4,6
1730,0.9929,10.4,6
1731,0.9988,9.5,6
1732,0.9906,11.9,5
1733,0.9914,11.1,6
1734,0.9978,9.6,6
1735,0.9928,12.0,6
1736,0.9948,8.7,5
1737,0.9978,9.6,6
1738,0.9946,10.0,5
1739,0.9908,11.4,4
1740,0.9954,9.6,6
1741,0.9906,12.9,6
1742,0.99705,9.7,6
1743,0.9982,9.3,6
1744,0.9932,9.1,5
1745,0.9977,8.6,5
1746,0.994,9.9,5
1747,0.9982,9.3,6
1748,0.9929,10.9,5
1749,0.9924,10.2,6
1750,0.9966,9.7,6
1751,0.9921,11.4,7
1752,0.9967,9.5,6
1753,0.9934,10.2,7
1754,0.9914,11.1,6
1755,0.99705,9.7,6
1756,0.9961,9.3,5
1757,0.9967,8.8,5
1758,0.9926,10.6,5
1759,0.99605,9.3,5
1760,0.99435,10.2,6
1761,0.9948,10.2,6
1762,0.9916,11.0,7
1763,0.997,9.6,6
1764,0.9961,9.3,5
1765,0.9967,8.8,5
1766,0.9961,8.8,5
1767,0.9955,8.9,5
1768,0.9922,10.0,5
1769,0.9918,12.2,7
1770,0.9955,10.9,6
1771,0.9941,9.5,6
1772,0.9955,10.9,6
1773,0.9955,10.9,6
1774,0.9924,10.8,6
1776,0.999,9.8,5
1777,0.9941,9.5,6
1778,0.9922,11.0,8
1779,0.9922,11.0,8
1780,0.9953,9.8,5
1781,0.9945,10.5,4
1782,0.9945,11.4,6
1783,0.9957,10.1,6
1784,0.9932,11.6,7
1785,0.9945,11.4,6
1786,0.9913,11.8,7
1787,0.9909,12.1,7
1788,0.9939,12.0,5
1789,0.991,12.1,7
1790,0.9954,9.1,5
1791,0.9943,9.3,5
1792,0.993,10.4,6
1793,1.0002,9.1,5
1794,0.9946,9.4,5
1795,0.9953,9.6,6
1796,0.9918,12.0,5
1797,0.9936,11.3,8
1798,0.9984,8.7,6
1799,0.9956,9.9,6
1800,0.9966,9.3,6
1801,0.9942,9.5,5
1802,0.9984,8.7,6
1803,0.9956,9.9,6
1804,0.9966,9.3,6
1805,0.9974,9.4,5
1806,0.9944,9.4,5
1807,1.0008,8.8,6
1808,0.9974,9.4,5
1809,1.0008,8.8,6
1810,0.9928,9.9,6
1811,0.9944,9.4,5
1812,0.9908,12.6,6
1813,0.9917,11.1,6
1814,0.9911,12.8,7
1815,0.9912,12.0,6
1816,0.9953,12.0,7
1817,0.9932,9.2,4
1818,0.9896,12.3,6
1819,0.9889,13.0,6
1820,0.9912,12.0,6
1821,0.9926,10.9,5
1822,0.9911,12.8,7
1823,0.9964,10.0,6
1824,0.9974,9.0,5
1825,0.9944,10.4,5
1826,0.9974,9.0,5
1827,0.9964,10.0,6
1828,0.9963,10.0,6
1829,0.9948,11.3,7
1830,0.9948,11.3,7
1831,0.9953,12.0,7
1832,0.9948,11.3,7
1833,0.9953,12.0,7
1834,0.9949,10.6,6
1835,0.9988,9.3,5
1836,0.9954,9.4,6
1837,0.992,11.0,7
1838,0.9984,9.3,6
1839,0.9954,9.4,6
1840,0.9926,10.5,5
1841,0.992,11.0,7
1842,0.9976,9.5,6
1844,0.991,12.3,6
1845,0.998,9.0,5
1846,0.9966,9.0,5
1847,0.998,9.0,5
1848,1.0007,9.0,5
1849,0.992,11.4,6
1850,0.9925,11.0,7
1851,0.991,12.3,6
1852,0.9934,10.4,7
1853,0.9955,10.3,5
1854,0.9944,10.5,7
1855,0.9981,9.8,6
1856,0.9968,10.0,4
1857,0.9946,9.7,5
1858,0.9946,9.7,5
1859,0.9981,9.8,6
1860,0.9946,10.5,6
1861,0.997,10.0,6
1862,0.9924,11.5,7
1863,0.9958,9.5,5
1864,0.994,10.5,6
1865,0.9958,10.2,6
1866,0.9984,9.8,6
1867,0.9948,11.6,6
1868,0.9932,11.8,7
1869,0.9952,10.1,7
1870,0.9924,10.3,6
1871,0.9945,10.4,6
1872,0.9976,8.9,5
1873,0.9976,8.9,5
1874,0.9938,10.8,5
1875,0.9997,9.2,5
1876,0.994,9.6,6
1877,0.9921,10.4,6
1878,0.9986,8.7,6
1879,0.9987,9.2,6
1880,0.9991,9.2,5
1881,0.9987,9.2,6
1882,0.9991,9.2,5
1883,0.9991,9.2,5
1884,0.9948,10.2,5
1885,0.9987,9.2,6
1886,0.993,9.0,5
1887,0.9988,9.7,5
1888,1.0,9.6,5
1889,0.9932,10.0,5
1890,0.9991,9.2,5
1891,0.9989,9.1,5
1892,1.0,8.7,5
1893,1.0,8.7,5
1894,0.9952,9.5,5
1895,0.9969,9.5,6
1896,0.9966,8.9,6
1897,0.9966,8.9,6
1898,0.9976,9.9,6
1899,0.99,12.6,7
1900,0.9988,9.7,6
1901,0.9942,10.4,5
1902,0.9984,9.1,6
1903,0.9932,10.4,5
1904,0.9969,9.5,6
1905,0.9966,8.9,6
1906,0.9933,10.6,5
1907,0.9916,12.0,7
1908,0.9914,12.5,7
1909,0.9966,9.6,5
1910,0.9958,9.2,5
1911,0.9926,9.9,6
1912,0.9939,11.7,6
1913,0.9953,9.6,6
1914,0.9906,12.0,6
1915,0.9914,12.5,7
1916,0.9958,9.2,5
1917,0.9926,9.9,6
1918,0.9991,8.9,6
1919,0.9994,9.0,6
1920,0.9976,10.2,7
1921,0.9966,9.6,5
1922,0.9953,9.4,5
1923,0.9923,10.4,5
1924,0.993,10.4,4
1925,0.9931,10.0,6
1926,0.9932,10.0,6
1927,0.9926,10.5,5
1928,0.9938,11.4,6
1929,0.9966,10.2,5
1930,0.9974,10.4,6
1931,0.9924,11.0,3
1932,0.9948,10.1,6
1933,0.9964,9.2,5
1934,0.9924,10.3,6
1935,0.9966,10.2,5
1936,0.9974,10.4,6
1937,0.9938,11.1,7
1938,0.9928,9.9,5
1939,0.9959,9.0,5
1940,1.0001,8.6,5
1941,0.9959,9.0,5
1942,1.0001,8.6,5
1943,0.9968,9.5,5
1944,0.9932,9.0,5
1945,0.9954,10.0,6
1946,0.9992,9.0,6
1947,0.9932,9.0,5
1948,0.9939,10.2,7
1949,0.9952,9.6,5
1950,0.9996,9.7,5
1951,0.9966,10.2,4
1953,0.996,10.8,6
1954,0.9996,9.7,5
1955,0.9973,9.0,5
1956,0.9937,9.9,5
1957,0.9966,9.2,6
1959,0.993,10.1,5
1960,0.993,10.1,5
1961,0.9959,9.5,5
1962,0.9958,9.9,5
1964,0.9958,9.0,5
1965,0.9979,8.6,6
1966,0.9941,10.5,6
1967,0.997,9.5,7
1968,0.9934,10.1,6
1969,0.9927,11.7,7
1970,0.9944,10.7,6
1971,0.9927,11.7,7
1972,0.9963,9.2,5
1973,1.0011,8.8,5
1974,1.0011,8.8,5
1975,0.9959,9.5,6
1976,0.9973,10.2,5
1977,0.9966,9.1,6
1978,0.9932,10.5,6
1979,0.9984,9.0,6
1980,0.999,8.9,8
1981,0.999,8.9,8
1982,0.999,8.9,8
1983,0.999,8.9,8
1984,0.999,8.9,8
1985,1.0006,9.1,6
1986,0.9937,10.1,6
1987,0.9954,10.0,5
1988,0.997,9.5,6
1989,0.9912,12.3,7
1990,0.9939,9.1,4
1991,0.999,8.9,8
1992,0.9957,9.6,5
1993,0.9926,11.6,6
1994,0.9994,8.8,6
1995,1.0004,8.9,6
1996,0.9994,8.8,6
1997,1.0004,8.9,6
1998,1.0004,8.9,6
1999,1.0002,9.0,6
2000,0.9922,10.0,5
2001,0.9922,10.0,5
2002,0.9934,11.1,6
2003,0.9926,11.6,6
2004,0.9941,10.6,6
2005,0.9994,8.8,6
2006,1.0004,8.9,6
2007,0.9924,10.1,6
2008,0.9948,10.0,5
2009,0.9935,12.2,7
2010,0.9918,11.0,6
2011,0.9948,10.0,5
2012,0.9924,11.1,5
2013,0.9979,10.4,6
2014,0.993,11.8,5
2015,0.994,10.8,6
2016,0.991,12.5,7
2017,0.993,11.8,5
2018,0.9922,11.6,7
2019,0.9979,10.4,6
2020,0.9937,11.5,6
2021,0.9928,10.1,6
2022,0.9965,9.2,6
2023,0.9928,10.1,6
2024,0.9991,9.2,5
2025,0.9948,8.9,5
2026,0.9925,10.1,5
2027,0.9958,8.9,5
2028,0.9962,9.7,6
2029,0.9965,9.2,6
2030,0.9951,11.0,6
2031,0.9944,10.7,5
2032,0.9916,10.8,6
2033,0.9987,9.8,5
2034,0.9928,11.0,5
2035,0.9926,10.4,5
2036,0.9934,10.2,6
2037,0.9944,10.7,5
2038,0.9949,9.0,5
2039,0.9926,10.6,5
2040,0.997,9.5,6
2041,0.9949,9.0,5
2042,0.9948,9.2,6
2043,0.992,11.0,6
2044,0.9964,9.9,6
2045,0.9926,10.6,5
2046,0.9982,9.3,5
2047,0.9955,9.6,5
2048,0.9955,9.5,5
2049,0.9958,9.7,7
2050,0.9997,9.7,3
2051,1.0001,8.7,5
2052,1.0001,8.7,5
2053,0.9918,12.4,5
2054,0.9918,12.4,5
2055,0.9931,10.6,6
2056,1.0001,8.7,5
2057,0.9926,12.0,7
2058,0.9966,9.0,5
2059,0.9932,8.8,5
2060,0.9969,9.5,5
2061,0.9925,10.8,6
2062,0.9914,11.4,5
2063,0.996,10.3,5
2064,0.9952,9.5,6
2065,0.9934,9.9,5
2066,0.9939,10.2,5
2067,0.9939,10.2,5
2068,0.9906,11.0,6
2069,0.9901,12.1,7
2070,0.9948,9.1,6
2071,0.995,9.5,6
2072,0.9953,9.5,5
2073,0.9953,9.8,5
2074,0.9952,9.5,6
2075,0.996,10.3,5
2076,0.9948,9.6,5
2077,0.9951,10.2,6
2078,0.9931,10.5,6
2079,0.9962,10.4,4
2080,0.9948,9.6,5
2081,0.9959,10.7,5
2082,0.9962,10.5,6
2083,0.9958,10.6,5
2084,0.9948,9.6,6
2085,0.9948,9.6,6
2086,0.994,9.5,5
2087,0.9942,9.4,6
2088,0.9942,9.8,6
2089,0.9948,9.6,6
2090,0.9964,9.2,5
2091,0.9958,9.5,5
2092,0.9932,9.2,5
2093,0.9986,9.4,5
2094,0.9986,9.4,5
2095,0.9988,9.3,5
2096,0.9953,9.1,5
2097,0.9983,9.5,5
2098,1.0,9.1,6
2099,0.9951,10.6,5
2100,0.9983,9.5,5
2101,0.9906,12.4,6
2102,0.9981,8.7,5
2103,0.9936,8.8,5
2104,0.9951,10.6,5
2105,0.9953,9.1,5
2106,1.0005,9.0,5
2107,0.9972,10.3,6
2108,1.0,9.1,6
2109,0.9969,9.5,6
2110,1.0001,8.8,5
2111,1.0001,8.8,5
2112,1.0001,8.8,5
2113,0.9934,9.9,5
